Camiseta de manga corta con logo estampado;Negro;M;10.00;12.00;25.00;CAM-SUP-NEG-M;100
Camiseta de manga corta con logo estampado;Blanco;M;10.00;12.00;25.00;CAM-SUP-BLA-M;150
Camiseta de manga corta con logo estampado;Rojo;L;10.00;12.00;25.00;CAM-SUP-ROJ-L;80
Pantalón vaquero de corte recto;Azul;32;30.00;35.00;70.00;PAN-501-AZU-32;200
Pantalón vaquero de corte recto;Negro;32;30.00;35.00;70.00;PAN-501-NEG-32;120
Pantalón vaquero de corte recto;Azul;34;30.00;35.00;70.00;PAN-501-AZU-34;180
Sudadera con capucha y cremallera;Gris;S;25.00;28.00;60.00;SUD-GAZ-GRI-S;90
Sudadera con capucha y cremallera;Negro;M;25.00;28.00;60.00;SUD-GAZ-NEG-M;110
Zapatillas de cuero blanco;Blanco;42;50.00;55.00;120.00;ZAP-AF1-BLA-42;300
Zapatillas de cuero blanco;Blanco;44;50.00;55.00;120.00;ZAP-AF1-BLA-44;250
Vestido de verano con estampado floral;Rosa;S;20.00;22.00;50.00;VES-SUE-ROS-S;70
Vestido de verano con estampado floral;Amarillo;M;20.00;22.00;50.00;VES-SUE-AMA-M;60
Chaqueta de invierno acolchada;Negro;L;60.00;65.00;150.00;CHA-MAX-NEG-L;100
Chaqueta de invierno acolchada;Verde;L;60.00;65.00;150.00;CHA-MAX-VER-L;80
